REGION,COUNCIL,WARD,SCHOOL NAME,ENROLMENT,ALL TEACHERS,PTR
ARUSHA,Arusha CC,Kimandolu,KIMANDOLU,1181,33,36
ARUSHA,Arusha CC,Kimandolu,SUYE,,28,35
ARUSHA,Arusha CC,Baraa,BARAA,1256,44,
ARUSHA,Arusha CC,Oloirien,MOIVOI,681,21,32
ARUSHA,Arusha CC,Oloirien,OLOIRIEN,,,36
ARUSHA,Arusha CC,Moshono,MOSHONO,592,26,23
ARUSHA,Arusha CC,Moshono,OLKEREYAN,,23,
ARUSHA,Arusha CC,Moshono,WEMA,712,24,
ARUSHA,Arusha CC,Moivaro,SHANGARAO,,23,32
ARUSHA,Arusha CC,Lemara,LEMARA,,25,42
ARUSHA,Arusha CC,Engutoto,NJIRO HILL,542,25,22
ARUSHA,Arusha CC,Sokon I,MURIET,606,10,61
ARUSHA,Arusha CC,Sokon I,SOKONI I,2252,46,49
ARUSHA,Arusha CC,Sinoni,ENGOSENGIU,,42,45
ARUSHA,Arusha CC,Sinoni,UKOMBOZI,2485,51,49
ARUSHA,Arusha CC,Sinoni,SINON,2908,58,50
ARUSHA,Arusha CC,Terrat,MAWENI,264,11,24
ARUSHA,Arusha CC,Terrat,MKONOO,816,19,43
ARUSHA,Arusha CC,Muriet,KISIMANI,323,10,32
ARUSHA,Arusha CC,Muriet,NADOSOITO,829,18,46
ARUSHA,Arusha CC,Muriet,LOSIYO,151,4,38
ARUSHA,Arusha CC,Muriet,TERRAT,1000,25,40
ARUSHA,Arusha CC,Sombetini,SOMBETINI,2431,49,50
ARUSHA,Arusha CC,Osunyai Jr,OSUNYAI,2484,50,50
ARUSHA,Arusha CC,Elerai,AZIMIO,755,27,28
ARUSHA,Arusha CC,Elerai,BURKA,1114,40,28
ARUSHA,Arusha CC,Elerai,ELERAI,1589,40,40
ARUSHA,Arusha CC,Olasiti,BURKA ESTATE,1155,29,40
ARUSHA,Arusha CC,Olasiti,OLASITI,1899,43,44
ARUSHA,Arusha CC,Olmoti,MAGEREZA,670,28,24
ARUSHA,Arusha CC,Olmoti,MATEVES,467,15,31
ARUSHA,Arusha CC,Olmoti,MURONGOINE,575,13,44
ARUSHA,Arusha CC,Kati,MERU,1135,37,31
ARUSHA,Arusha CC,Kati,UHURU,1299,44,30
ARUSHA,Arusha CC,Daraja Ii,DARAJA MBILI,1559,49,32
ARUSHA,Arusha CC,Themi,ARUSHA SCHOOL,725,34,21
ARUSHA,Arusha CC,Themi,ENGIRA,659,19,35
ARUSHA,Arusha CC,Themi,THEMI,1398,42,33
ARUSHA,Arusha CC,Ngarenaro,MWANGAZA,1407,34,41
ARUSHA,Arusha CC,Ngarenaro,NGARENARO,2154,55,39
ARUSHA,Arusha CC,Levolosi,LEVOLOSI,1052,36,29
ARUSHA,Arusha CC,Kaloleni,MAKUMBUSHO,671,22,31
ARUSHA,Arusha CC,Kaloleni,KALOLENI,914,47,19
ARUSHA,Arusha CC,Unga Ltd,SALEI,1423,34,42
ARUSHA,Arusha CC,Unga Ltd,UNGA LTD,2141,48,45
ARUSHA,Arusha CC,Sekei,KIJENGE,1215,33,37
ARUSHA,Arusha CC,Sekei,NAURA,523,18,29
ARUSHA,Arusha CC,Sekei,SANAWARI,1147,39,29
ARUSHA,Arusha,Mwandet,ENGALAONI,552,11,50
ARUSHA,Arusha,Mwandet,IMBIBIA,637,13,49
ARUSHA,Arusha,Mwandet,LOSIKITO,783,13,60
ARUSHA,Arusha,Mwandet,MWANDETI,570,11,52
ARUSHA,Arusha,Olkokola,ILKUROT,574,14,41
ARUSHA,Arusha,Olkokola,LENGIJAVE,525,13,40
ARUSHA,Arusha,Olkokola,OLBAK,535,15,36
ARUSHA,Arusha,Lemanyata,ENGORIKA,656,15,44
ARUSHA,Arusha,Lemanyata,LEMANYATA,800,18,44
ARUSHA,Arusha,Lemanyata,MATIM,972,17,57
ARUSHA,Arusha,Lemanyata,OLKOKOLA,622,12,52
ARUSHA,Arusha,Oldonyosambu,LEMINYOR,544,13,42
ARUSHA,Arusha,Oldonyosambu,OLDONYOSAMBU,923,16,58
ARUSHA,Arusha,Oldonyowass,LOSINONI,500,10,50
ARUSHA,Arusha,Oldonyowass,NAMELOK,516,7,74
ARUSHA,Arusha,Oldonyowass,ENGUTUKOIT,168,11,15
ARUSHA,Arusha,Oldonyowass,OLDONYOWAS,627,10,63
ARUSHA,Arusha,Kisongo,ILKERIN,367,14,26
ARUSHA,Arusha,Kisongo,KISONGO,486,15,32
ARUSHA,Arusha,Kisongo,LESIRAA,373,12,31
ARUSHA,Arusha,Kisongo,LOOVILUKUNYI,427,14,31
ARUSHA,Arusha,Mateves,KAMBI YA MAZIWA,1151,31,37
ARUSHA,Arusha,Mateves,LEMUGUR,498,12,42
ARUSHA,Arusha,Laroi,ENJORO,371,11,34
ARUSHA,Arusha,Laroi,LAROI,313,12,26
ARUSHA,Arusha,Laroi,OLEMEDEYE,244,6,41
ARUSHA,Arusha,Musa,EUNOTO,381,8,48
ARUSHA,Arusha,Musa,LIKAMBA,465,10,47
ARUSHA,Arusha,Musa,MUSA,368,11,33
ARUSHA,Arusha,Musa,NENGUNGU,248,15,17
ARUSHA,Arusha,Musa,OLCHOROVUS,611,10,61
ARUSHA,Arusha,Oljoro,MBUYUNI,553,12,46
ARUSHA,Arusha,Oljoro,MIRONGOINE,425,11,39
ARUSHA,Arusha,Oljoro,OLJORO,358,11,33
ARUSHA,Arusha,Oljoro,SITTI MWINYI,112,9,12
ARUSHA,Arusha,Kimnyaki,KIMNYAKI,731,24,30
ARUSHA,Arusha,Kimnyaki,OLMRINGIRINGA,1080,19,57
ARUSHA,Arusha,Kimnyaki,SELIAN,904,24,38
ARUSHA,Arusha,Sambasha,SAMBASHA,717,17,42
ARUSHA,Arusha,Sambasha,TIMBOLO,807,18,45
ARUSHA,Arusha,Ilkiding'a,ILKIDING'A,1096,28,39
ARUSHA,Arusha,Ilkiding'a,ILKISONGO,614,15,41
ARUSHA,Arusha,Ilkiding'a,KIOGA,1121,20,56
ARUSHA,Arusha,Olturoto,LORUVAN,756,31,24
ARUSHA,Arusha,Olturoto,OLDONYOSAPUK,546,12,46
ARUSHA,Arusha,Olturoto,OLTROTO,627,24,26
ARUSHA,Arusha,Bangata,BANGATA,365,18,20
ARUSHA,Arusha,Bangata,ENGIKARETI,433,10,43
ARUSHA,Arusha,Bangata,MIDAWE,529,14,38
ARUSHA,Arusha,Bangata,SASI,427,18,24
ARUSHA,Arusha,Sokon II,NAMBERE,472,21,22
ARUSHA,Arusha,Sokon II,NG'IRESI,824,19,43
ARUSHA,Arusha,Sokon II,OLDADAI,1169,38,31
ARUSHA,Arusha,Kiutu,OLGILAI,819,23,36
ARUSHA,Arusha,Kiutu,NAUREI,1253,39,32
ARUSHA,Arusha,Kiutu,SEKEI,990,29,34
ARUSHA,Arusha,Mlangarini,KISERIAN,362,17,21
ARUSHA,Arusha,Mlangarini,MANYIRE,437,13,34
ARUSHA,Arusha,Mlangarini,MLANGARINI,559,15,37
ARUSHA,Arusha,Mlangarini,MUUNGANO,354,11,32
ARUSHA,Arusha,Mlangarini,OLOMITU,550,20,28
ARUSHA,Arusha,Nduruma,MAJI MOTO,363,9,40
ARUSHA,Arusha,Nduruma,MARURANI,335,8,42
ARUSHA,Arusha,Nduruma,MSHIKAMANO,326,12,27
ARUSHA,Arusha,Nduruma,MZIMUNI,410,13,32
ARUSHA,Arusha,Nduruma,NDURUMA,469,9,52
ARUSHA,Arusha,Nduruma,OLDENDERETI,287,8,36
ARUSHA,Arusha,Nduruma,UMOJA,411,10,41
ARUSHA,Arusha,Bwawani,BWAWANI,324,11,29
ARUSHA,Arusha,Bwawani,KIGONGONI,278,7,40
ARUSHA,Arusha,Bwawani,LAMOLOKI,494,10,49
ARUSHA,Arusha,Bwawani,MUNGUSHI,431,12,36
ARUSHA,Arusha,Bwawani,OLOKII,139,7,20
ARUSHA,Arusha,Bwawani,SONGAMBELE,243,9,27
ARUSHA,Arusha,Bwawani,THEMI YA SIMBA,227,8,28
ARUSHA,Arusha,Olorien,J.K. NYERERE,657,24,27
ARUSHA,Arusha,Olorien,OLOSIVA,951,24,40
ARUSHA,Arusha,Olorien,MRINGA,1085,40,27
ARUSHA,Arusha,Kiranyi,ENYUATA,871,24,36
ARUSHA,Arusha,Kiranyi,ILKIUREI,863,39,22
ARUSHA,Arusha,Kiranyi,KIRANYI,665,29,23
ARUSHA,Arusha,Kiranyi,NATEMA,483,20,24
ARUSHA,Arusha,Kiranyi,OLCHOKI,1298,36,36
ARUSHA,Arusha,Olturumet,EKENYWA,550,15,37
ARUSHA,Arusha,Olturumet,NGARAMTONI,886,26,34
ARUSHA,Arusha,Olturumet,OLTURMET,478,14,34
ARUSHA,Arusha,Olmotonyi,OLMOTONYI,376,14,27
ARUSHA,Arusha,Olmotonyi,ILKONERE,514,12,43
ARUSHA,Arusha,Olmotonyi,EMAOI,800,24,33
ARUSHA,Arusha,Moivo,MOIVO,839,27,31
ARUSHA,Arusha,Tarakwa,ENDOINYOESOYE,565,20,28
ARUSHA,Arusha,Ilboru,ILBORU,1217,42,29
ARUSHA,Karatu,Qurus,ASLIN GONGALI,157,7,22
ARUSHA,Karatu,Qurus,BASHAY,753,22,34
ARUSHA,Karatu,Qurus,GONGALI,382,12,32
